id,text,sarcastic,rephrase,dialect
1,ضبط شخص بدبلوم انتحل صفة طبيب بلد مافيش حد فيها بيشتغل بشهادته,1,شخص ينتحل صفة طبيب ويفتتح عيادة فى بلد فاشلة ضاعت فيها الرقابة ,nile
2,مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,1,مش لازم دائما اعمل برأيك,nile
3,اية المهلبية دي يصحبي,1,ما هذا الجمال,nile
4,الحديث قياس فيه الفضة و فيه النحاس,1,لسانك ترجمان قلبك,magreb
5,ده فاكر نفسه باشا و بيه كمان,1,ده مغرور و شايف نفسه علىالناس,nile
6,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1,انت مغفل وتزوجت إمرأة حامل ولم تلاحظ,nile
7,الدنيا عاملة زى اوضة وصالة كل ما امشى فى حته الاقى ايمن فى وشى,1,الدنيا صغيرة ودايما نلاقى فيها حد نعرفه,nile
8,مهما دورت ولفيت عمرك ما هتلاقي حد يحس بيك غير كرشك,1,محدش هينفعك غير بطنك انما اي حد تاني مش هيحس بيك,nile
9,فلوس ايه يا امى اللى احوشها من شغلى ده أنا مافيش فلوس اروح الشغل بكره,1,مرتبى قليل ومش معايا فلوس حتى المواصلات للشغل,nile
10,وراء كل رجل عظيم امراه تقول له انت لست عظيما,1,المراه تحاول احباط زوجها وهو بمنطلق العند يحاول ان يكون عظيما,msa
11,نفسي افهم مين الي نزل الكائن ده كتالوج الحريم,1,دى وحشة أوى علشان تبقي فى المجلات ومشهورة,nile
12,سنة أغسطس بيكون فيها فجوة زمنية مجهولة الأيام بتبقى تصاعدي ليوم 15 وترجع تنازلي تاني ليوم 15,1,شهر اغسطس يبدو طويلا جدا,nile
13,اللصوص مفيش اتعس منهم الناس قاعدة في البيوت ولو حبوا يتوبوا فالمساجد مقفولة,1,الكرونا وقفت حال اللصوص,nile
14,اللي تعرف ديته اقتله,1,حاول ان تجد نقاط ضعف خصمك,nile
15,مبروك كسبت جايزة اوبل في الذكاء,1,انت غبي,nile
16,هيورينا ايام اسود من قرن الخروب,1,هيورينا ايام صعبة وشديدة,nile
