id,text,dialect,sarcasm_ref,human_aggregated,#humans_sarcasm
0,نتغير من الأفعال مانتغير من مزاجنا,msa,0,0,0
1,هل هُناك صباح الخير بطريقة مختلفة؟,msa,0,0,1
2,الهدرة عليا و المعاني على جارتي,nile,1,1,4
3,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,0,0
4,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,0,1
5,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,0,0
6,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,1,4
7,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,msa,0,0,0
8,بس انا لسه بحبك..,nile,0,0,0
9,الناس صابوني بالعين 💔,levant,0,0,2
10,سامحنى ياسيدى مغلطش فى البخارى,nile,1,1,3
11,جدآ اكره الرد المتأخر .,msa,0,0,1
12,انا مبسوطة 🥰 🥰 🥰 🥰,nile,0,0,0
13,رغبة عارمة بالانتقام 🤭 😂,msa,0,0,1
14,ينسي ايه,nile,0,0,0
15,ما يفرشون اسنانهم الا بصعوبة,gulf,0,1,3
16,غززة ✌️ ✌️ ✌️ ✌️ ❤️,msa,0,0,0
17,يا سلام عليك يا مازن 💚 💚 💚,nile,0,0,0
18,اى ان من تربي فى وسط غبي لن يكون لا غبي,levant,0,0,1
19,لا تعيره إهتمام,msa,0,0,0
20,ياربي وش هذا الحظ زان نقطه وماامدا افرح الا انخذلت,magreb,0,1,3
21,اما بغيمة وصاله يطفي الحره ، ولا يولع بقلب مّل ضيقاته ..,gulf,0,0,0
22,ما اثقل دمك حتى بالنكت,gulf,0,1,3
23,و الدَّلَالة تُفْهَمُ قبلَ النُّطقِ أحيانا..,msa,0,0,0
24,ليت اكون شخص ما يفكر كثيرر,levant,0,0,0
25,المحافظة علي حياة الخاطفين والمخطوفين,msa,1,0,0
26,طيف تاجرا.سي وفخر.ي,gulf,0,0,1
27,تجاوزت كونك شخص انت رُوحي,msa,0,0,0
28,بصو أنا مش عارف هيا بتقول ايه بس واضح أنها بتشتم,nile,1,1,3
29,ترى اكره اقعد لحالي,gulf,0,0,0
30,انت قاعد معانا لية ؟ كرسي البواب مش هنا,nile,1,1,5
31,ياعم ارحمنا فين دااينج !!,nile,0,0,1
32,ليتني مثلك ما احس وما احن و ما انتظر .,nile,0,0,1
33,احب حنيّة ابوي اذا سالني وش اللي مزعلك؟ او وش اللي فخاطرك؟ على قدّ ماهي بسيطة إلا إنه تجبر بقلبي وخاطري مرة 🥺 ♥️ ♥️ ♥️ .,gulf,0,0,0
34,إستثنيني وكأن لا وجُود للعالم بعدي.,msa,0,0,1
35,انت فكرون مريض,magreb,1,0,2
36,"♪( ◜௰◝و(و """,msa,0,0,0
37,بسرعه شاركوني اغنيه مع المطر ؟,msa,0,0,0
38,بعد زوال هذه الأزمة إن شاء الله، ستشهد مصر اعظم موسم افراح عرفه التاريخ,msa,1,0,0
39,نفس الواحد هفت علي شورما ابو حيدر,gulf,0,0,1
40,اسيست الظاهره 💛,msa,0,0,0
41,حظي ولا مرة قعد.,nile,0,0,1
42,كافي لاتجرح بقلبي,gulf,0,0,0
